,name,named_after,label,x,y
2966,Harbin,Harbin,city,45.75,126.63333333333
2973,Nepryadva,Nepryadva,stream,53.66666667,38.65
2975,Nihondaira,Nihondaira,landform,34.97555556,138.46694444
2978,Vilyujsk,Vilyuysk,administrative territorial entity,63.75,121.61666666667
2985,Kakhovka,Kakhovka,city,46.8,33.466666666667
2989,Zhuhai,Zhuhai,city,22.2741666666667,113.571944444444
2995,Caltech,California Institute of Technology,private educational institution,34.1375,-118.125
3000,Shimoyama,Shimoyama,former municipality,35.0407222222222,137.318777777778
3002,Yoshkar-Ola,Yoshkar-Ola,city,56.632777777778,47.895833333333
3009,Glarnisch,Glärnisch,natural geographic object,46.998611111111,8.9986111111111
3013,Dikan'ka,Dykanka,geographical feature,49.82223788337,34.5340800266
3018,Mitake-mura,Mitake,former municipality,35.8461944444444,137.62625
3020,Naerum,Nærum,geographical feature,55.8181,12.5344
3023,Hopi,Hopi people,population group,35.87083333,-110.61833333
3024,Coconino,Coconino County,county of the United States,35.7,-111.5
3025,Muchachos,Roque de los Muchachos,natural geographic object,28.754166666667,-17.884722222222
3027,Ohtaki,Otaki,second-level administrative division,35.8093333333333,137.55075
3030,Katsurahama,Katsurahama,geographic location,33.497194444444,133.57502777778
3032,Korsunia,Korsun-Shevchenkivskyi,city,49.426111111111,31.280555555556
3036,Murmansk,Murmansk,administrative territorial entity,68.966666666667,33.083333333333
3044,Poltava,Poltava,second-level administrative division,49.5894444444444,34.5513888888889
3047,Livadia,Livadiya,urban-type settlement,44.470833333333,34.143888888889
3049,Coventry,Coventry,city,52.416666666667,-1.5166666666667
3055,Chongqing,Chongqing,municipality,29.55,106.50694444444
3058,Minsk,Minsk,city,53.902246,27.561837
3068,Meuse,Meuse,stream,51.866389,4.018889
3072,Hainan,Hainan,province,20.03342,110.32398
3076,Holbaek,Holbæk,city,55.7181,11.7103
3080,San Diego,San Diego,city,32.715,-117.1625
3090,Guangzhou,Guangzhou,city,23.13,113.26
3099,Kuzbass,Kuznetsk Basin,sedimentary basin,55.35444444,86.08861111
3100,Nantong,Nantong,city,31.98288,120.8873
3104,Vilnius,Vilnius,city,54.6872222222222,25.28
3109,OAFA,Félix Aguilar Observatory,observatory,-31.8023,-69.3265
3110,Jinxiuzhonghua,Splendid China Folk Village,park,22.535,113.98361111
3112,Eger,Eger,city,47.898888888889,20.374722222222
3117,Misuzu,Shinano Province,former administrative territorial entity,36.238624,137.968871
3120,Tamines,Tamines,human settlement,50.4317,4.6117
3123,Kansas,Kansas,electoral unit,38.5,-98
3129,Sendai,Sendai,city,38.2682222222222,140.869416666667
3137,Anshan,Anshan,city,41.10662,122.98945
3141,Horky,Horky,municipality,49.868815838289,15.439849104856
3146,Ciney,Ciney,city,50.2964,5.1003
3154,Shantou,Shantou,city,23.3538888888889,116.682222222222
3158,Stellafane,Stellafane Observatory,observatory,43.278278,-72.519475
3160,Tosa,Tosa Province,former administrative territorial entity,33.61638889,133.40083333
3163,Anga,Anga,locality,53.982131,106.187452
3166,Mikawa,Mikawa Province,former administrative territorial entity,35.026389,137.401667
3169,Klondike,Klondike Gold Rush,occurrent,64.034916666667,-139.28596111111
3170,Lomnicky Stit,Lomnický Štít Observatory,observatory,49.1967,20.22
3172,Chillicothe,Chillicothe,seat,39.336388888889,-82.983888888889
3178,Shimanto,Shimanto River,stream,32.933272222222,132.99628055556
3180,Dalian,Dalian,city,38.9,121.6
3190,Penza,Penza,city,53.2,45
3198,Svanetia,Svaneti,spatial region,42.916388888889,43.011388888889
3200,Wuhan,Wuhan,city,30.5872222222222,114.288055555556
3210,Smolensk,Smolensk,city,54.782777777778,32.045277777778
3214,Changshi,Changshu,county-level division,31.65,120.733333
3215,Irkutsk,Irkutsk,city,52.2891666666667,104.28
3220,Solnhofen,索尔恩霍芬,municipality in Germany,48.8963888888889,10.9938888888889
