name,named_after,sex_or_gender,date_of_birth,date_of_death
Bauschinger,Julius Bauschinger,male,1860-01-28T00:00:00Z,1934-01-21T00:00:00Z
Schilt,Jan Schilt,male,1894-02-03T00:00:00Z,1982-01-09T00:00:00Z
Mr. Spock,Spock,male,2230-01-01T00:00:00Z,2263-01-01T00:00:00Z
Olshaniya,Konstantin Olshansky,male,1915-05-08T00:00:00Z,1944-03-27T00:00:00Z
Duboshin,Georgy Duboshin,male,1904-12-25T00:00:00Z,1986-10-20T00:00:00Z
Field,George B. Field,male,1929-10-25T00:00:00Z,2024-07-31T00:00:00Z
Lubarsky,Kronid Lyubarsky,male,1934-04-04T00:00:00Z,1996-05-23T00:00:00Z
Aristides,Aristides,male,0540-01-01T00:00:00Z,0467-01-01T00:00:00Z
Zverev,Mitrofan Zverev,male,1903-04-03T00:00:00Z,1991-11-17T00:00:00Z
Chernykh,Nikolai Chernykh,male,1931-10-06T00:00:00Z,2004-05-25T00:00:00Z
Chernykh,Lyudmila Chernykh,female,1935-06-13T00:00:00Z,2017-07-28T00:00:00Z
Robeson,Paul Robeson,male,1898-04-09T00:00:00Z,1976-01-23T00:00:00Z
Kalm,Pehr Kalm,male,1716-03-06T00:00:00Z,1779-11-16T00:00:00Z
Porthan,Henrik Gabriel Porthan,male,1739-11-08T00:00:00Z,1804-03-16T00:00:00Z
Cuffey,James Cuffey,male,1911-10-08T00:00:00Z,1999-05-30T00:00:00Z
Anacreon,Anacreon,male,0570-01-01T00:00:00Z,0485-01-01T00:00:00Z
Lebedev,Nikolay Lebedev,male,1914-08-05T00:00:00Z,1942-11-23T00:00:00Z
Fucik,Julius Fučík,male,1903-02-23T00:00:00Z,1943-09-08T00:00:00Z
Lilio,Aloysius Lilius,male,1510-01-01T00:00:00Z,1576-01-01T00:00:00Z
Michkovitch,Vojislav Mišković,male,1892-01-18T00:00:00Z,1976-11-25T00:00:00Z
Kurchenko,Nadezhda Kurchenko,female,1950-12-29T00:00:00Z,1970-10-15T00:00:00Z
von Lude,Heinz von Lüde,male,1914-10-31T00:00:00Z,
O'Higgins,Bernardo O'Higgins,male,1778-08-20T00:00:00Z,1842-10-24T00:00:00Z
Kurchatov,Igor Kurchatov,male,1903-01-08T00:00:00Z,1960-02-07T00:00:00Z
Lavrov,Svyatoslav Lavrov,male,1923-03-12T00:00:00Z,2004-06-18T00:00:00Z
Debehogne,Henri Debehogne,male,1928-12-30T00:00:00Z,2007-12-09T00:00:00Z
Gogol,Nikolai Gogol,male,1809-03-20T00:00:00Z,1852-02-21T00:00:00Z
Mark Twain,Mark Twain,male,1835-11-30T00:00:00Z,1910-04-21T00:00:00Z
Beltrovata,Betty Tendering,female,1831-01-01T00:00:00Z,1902-01-01T00:00:00Z
Chekhov,Anton Chekhov,male,1860-01-17T00:00:00Z,1904-07-15T00:00:00Z
van Altena,William Foster van Altena,male,1939-08-15T00:00:00Z,
Dimitrov,Georgi Dimitrov,male,1882-06-18T00:00:00Z,1949-07-02T00:00:00Z
Proskurin,Vitaliy Fyodorovich Proskurin,male,1919-01-01T00:00:00Z,1964-01-01T00:00:00Z
Immo,Immo Appenzeller,male,1940-05-13T00:00:00Z,
Vladvysotskij,Vladimir Vysotsky,male,1938-01-25T00:00:00Z,1980-07-25T00:00:00Z
Radek,Ctirad Kohoutek,male,1929-03-18T00:00:00Z,2011-09-19T00:00:00Z
Martynov,Dmitry Martynov,male,1906-03-25T00:00:00Z,1989-10-22T00:00:00Z
Shcheglov,Vladimir Shcheglov,male,1904-06-15T00:00:00Z,1985-01-23T00:00:00Z
Pannekoek,Anton Pannekoek,male,1873-01-02T00:00:00Z,1960-04-28T00:00:00Z
Heiskanen,Veikko Aleksanteri Heiskanen,male,1895-07-23T00:00:00Z,1971-10-23T00:00:00Z
Schulhof,Lipót Schulhof,male,1847-03-12T00:00:00Z,1921-10-10T00:00:00Z
Nikonov,Vladimir Nikonov,male,1905-11-05T00:00:00Z,1987-06-09T00:00:00Z
Gase,Vera Gaze,female,1899-12-17T00:00:00Z,1954-10-03T00:00:00Z
Tomita,Kōichirō Tomita,male,1925-02-16T00:00:00Z,2006-05-22T00:00:00Z
Suzuki,Keishin Suzuki,male,1905-05-12T00:00:00Z,1993-01-27T00:00:00Z
Terradas,Esteban Terradas Illa,male,1883-09-15T00:00:00Z,1950-05-09T00:00:00Z
Derevskaya,Aleksandra Derevskaya,female,1902-05-06T00:00:00Z,1959-05-25T00:00:00Z
Satpaev,Kanysh Satpayev,male,1899-03-31T00:00:00Z,1964-01-31T00:00:00Z
Astapovich,Igor Astapovich,male,1907-12-29T00:00:00Z,1976-01-02T00:00:00Z
Chapman,Clark Chapman,male,1945-01-01T00:00:00Z,
Morrison,David Morrison,male,1940-06-26T00:00:00Z,
Zellner,Benjamin H. Zellner,male,1942-04-16T00:00:00Z,2021-12-06T00:00:00Z
van de Hulst,Hendrik C. van de Hulst,male,1918-11-19T00:00:00Z,2000-07-31T00:00:00Z
Sharonov,Vsevolod Sharonov,male,1901-02-25T00:00:00Z,1964-11-27T00:00:00Z
McVittie,George Cunliffe McVittie,male,1904-06-05T00:00:00Z,1988-03-08T00:00:00Z
Ciurlionis,Mikalojus Konstantinas Čiurlionis,male,1875-09-22T00:00:00Z,1911-04-10T00:00:00Z
Nininger,Harvey H. Nininger,male,1887-01-17T00:00:00Z,1986-03-01T00:00:00Z
Perovskaya,Sophia Perovskaya,female,1853-09-13T00:00:00Z,1881-04-15T00:00:00Z
Ibarruri,Rubén Ruiz Ibárruri,male,1920-01-09T00:00:00Z,1942-09-03T00:00:00Z
Simonov,Konstantin Simonov,male,1915-11-15T00:00:00Z,1979-08-28T00:00:00Z
Kobzar,Taras Shevchenko,male,1814-03-09T00:00:00Z,1861-03-10T00:00:00Z
Kamenyar,Ivan Franko,male,1856-08-27T00:00:00Z,1916-05-28T00:00:00Z
Schurer,Max Schürer,male,1910-04-18T00:00:00Z,1997-10-10T00:00:00Z
Skovoroda,Hryhorii Skovoroda,male,1722-11-22T00:00:00Z,1794-11-09T00:00:00Z
Bateson,Frank Bateson,male,1909-10-31T00:00:00Z,2007-04-16T00:00:00Z
Hatshepsut,Hatshepsut,female,1507-01-01T00:00:00Z,1458-01-16T00:00:00Z
Oleshko,Valentina Oleshko,female,1924-01-01T00:00:00Z,1943-03-01T00:00:00Z
Ulugbek,Ulugh Beg,male,1394-03-22T00:00:00Z,1449-10-27T00:00:00Z
Hibbs,Al Hibbs,male,1924-10-19T00:00:00Z,2003-02-24T00:00:00Z
Corbett,Jim Corbett,male,1875-07-25T00:00:00Z,1955-04-19T00:00:00Z
Tomeileen,Brian G. Marsden,male,1937-08-05T00:00:00Z,2010-11-18T00:00:00Z
Lederle,Trudpert Lederle,male,1922-01-01T00:00:00Z,2002-01-01T00:00:00Z
Blazhko,Sergey Blazhko,male,1870-11-05T00:00:00Z,1956-02-11T00:00:00Z
Lunacharsky,Anatoly Lunacharsky,male,1875-11-11T00:00:00Z,1933-12-26T00:00:00Z
Sholokhov,Mikhail Sholokhov,male,1905-05-11T00:00:00Z,1984-02-21T00:00:00Z
Ioannisiani,Bagrat Ioannisiani,male,1911-11-05T00:00:00Z,1985-12-10T00:00:00Z
Dollfus,Audouin Dollfus,male,1924-11-12T00:00:00Z,2010-10-01T00:00:00Z
Lyot,Bernard Lyot,male,1897-02-27T00:00:00Z,1952-04-02T00:00:00Z
Olaus Magnus,Olaus Magnus,male,1490-10-01T00:00:00Z,1557-08-01T00:00:00Z
Rublyov,Andrei Rublev,male,1360-01-01T00:00:00Z,1430-01-29T00:00:00Z
Veniakaverin,Veniamin Kaverin,male,1902-04-06T00:00:00Z,1989-05-02T00:00:00Z
Nordenskiold,Adolf Erik Nordenskiöld,male,1832-11-18T00:00:00Z,1901-08-12T00:00:00Z
Wilson,Robert Wilson,male,1927-04-16T00:00:00Z,2002-09-02T00:00:00Z
Kollontai,Alexandra Kollontai,female,1872-03-19T00:00:00Z,1952-03-09T00:00:00Z
Repin,Ilya Repin,male,1844-07-24T00:00:00Z,1930-09-29T00:00:00Z
Bradman,Don Bradman,male,1908-08-27T00:00:00Z,2001-02-25T00:00:00Z
Heyerdahl,Thor Heyerdahl,male,1914-10-06T00:00:00Z,2002-04-18T00:00:00Z
Semenov,Pavel Semyonov,male,1912-11-04T00:00:00Z,1942-08-25T00:00:00Z
Andersen,Hans Christian Andersen,male,1805-04-02T00:00:00Z,1875-08-04T00:00:00Z
Biryukov,Nikolay Biryukov,male,1912-02-01T00:00:00Z,1966-01-31T00:00:00Z
Papanov,Anatoli Papanov,male,1922-10-31T00:00:00Z,1987-08-05T00:00:00Z
Burgi,Jost Bürgi,male,1552-02-28T00:00:00Z,1632-01-31T00:00:00Z
Parenago,Pavel Parenago,male,1906-03-07T00:00:00Z,1960-01-05T00:00:00Z
Scheffler,Helmut Scheffler,male,1928-01-01T00:00:00Z,2008-01-01T00:00:00Z
Bryan,William Lowe Bryan,male,1860-11-11T00:00:00Z,1955-11-21T00:00:00Z
Suvorov,Alexander Suvorov,male,1730-11-13T00:00:00Z,1800-05-06T00:00:00Z
Bussolini,Juan A. Bussolini,male,1905-01-01T00:00:00Z,1966-01-01T00:00:00Z
Kutuzov,Mikhail Kutuzov,male,1745-09-05T00:00:00Z,1813-04-16T00:00:00Z
Elmer,Charles Elmer,male,1872-01-01T00:00:00Z,1954-01-01T00:00:00Z
Fernandus,Fernandus Payne,male,1881-02-13T00:00:00Z,1977-10-13T00:00:00Z
Tsesevich,Vladimir Tsesevich,male,1907-10-11T00:00:00Z,1983-10-28T00:00:00Z
Brunk,William E. Brunk,male,1928-01-01T00:00:00Z,
Gaviola,Enrique Gaviola,male,1900-08-31T00:00:00Z,1989-08-07T00:00:00Z
Pirogov,Nikolai Pirogov,male,1810-11-13T00:00:00Z,1881-11-23T00:00:00Z
Bobone,Jorge Bobone,male,1901-07-22T00:00:00Z,1958-10-21T00:00:00Z
Patterson,Clair Cameron Patterson,male,1922-06-02T00:00:00Z,1995-12-05T00:00:00Z
Roman,Nancy Roman,female,1925-05-16T00:00:00Z,2018-12-25T00:00:00Z
Annagerman,Anna German,female,1936-02-14T00:00:00Z,1982-08-26T00:00:00Z
Ryba,Jakub Jan Ryba,male,1765-10-26T00:00:00Z,1815-04-08T00:00:00Z
Gregory,James Gregory,male,1638-01-01T00:00:00Z,1675-01-01T00:00:00Z
Sutton,Robert L. Sutton,male,1901-01-01T00:00:00Z,
Fechtig,Hugo Fechtig,male,1929-10-05T00:00:00Z,2025-02-20T00:00:00Z
Houzeau,Jean-Charles Houzeau,male,1820-10-07T00:00:00Z,1888-07-12T00:00:00Z
Kozyrev,Nikolai Aleksandrovich Kozyrev,male,1908-09-02T00:00:00Z,1983-02-27T00:00:00Z
Gilmore,Alan C. Gilmore,male,1944-03-01T00:00:00Z,
Vanderlinden,Henri Vanderlinden,male,1892-01-01T00:00:00Z,1983-01-01T00:00:00Z
Blok,Alexander Blok,male,1880-11-16T00:00:00Z,1921-08-07T00:00:00Z
Edebono,Edward de Bono,male,1933-05-19T00:00:00Z,2021-06-09T00:00:00Z
Calpurnia,Calpurnia,female,0176-01-01T00:00:00Z,
Gubarev,Aleksei Gubarev,male,1931-03-29T00:00:00Z,2015-02-21T00:00:00Z
Verbiest,Ferdinand Verbiest,male,1623-10-09T00:00:00Z,1688-01-28T00:00:00Z
Leloir,Luis Federico Leloir,male,1906-09-06T00:00:00Z,1987-12-02T00:00:00Z
Houssay,Bernardo Houssay,male,1887-04-10T00:00:00Z,1971-09-21T00:00:00Z
Viljev,Mikhail Vilyev,male,1893-08-20T00:00:00Z,1919-12-01T00:00:00Z
Skiff,Brian A. Skiff,male,2000-01-01T00:00:00Z,
Putnam,Roger Putnam,male,1893-12-19T00:00:00Z,1972-11-24T00:00:00Z
Putnam,Michael C. J. Putnam,male,1933-09-20T00:00:00Z,
Svoboda,Jindřich Svoboda,male,1884-07-13T00:00:00Z,1941-05-15T00:00:00Z
Margolin,Mikhail Margolin,male,1906-01-29T00:00:00Z,1975-01-25T00:00:00Z
Chaliapin,Feodor Chaliapin,male,1873-02-01T00:00:00Z,1938-04-12T00:00:00Z
Boyarchuk,Alexander Boyarchuk,male,1931-06-21T00:00:00Z,2015-08-10T00:00:00Z
Maksutov,Dmitry Dmitrievich Maksutov,male,1896-04-11T00:00:00Z,1964-08-12T00:00:00Z
Annschnell,Anneliese Schnell,female,1941-12-19T00:00:00Z,2015-07-14T00:00:00Z
Yesenin,Sergei Yesenin,male,1895-09-21T00:00:00Z,1925-12-28T00:00:00Z
Saint-Exupery,Antoine de Saint-Exupéry,male,1900-06-29T00:00:00Z,1944-07-31T00:00:00Z
Spartacus,Spartacus,male,,0171-04-01T00:00:00Z
Fatyanov,Aleksey Fatyanov,male,1919-03-05T00:00:00Z,1959-11-13T00:00:00Z
Gardner,Martin Gardner,male,1914-10-21T00:00:00Z,2010-05-22T00:00:00Z
Mourao,Ronaldo Mourão,male,1935-05-25T00:00:00Z,2014-07-25T00:00:00Z
Gudiachvili,Lado Gudiashvili,male,1896-03-18T00:00:00Z,1980-07-20T00:00:00Z
Vainu Bappu,Vainu Bappu,male,1927-08-10T00:00:00Z,1982-08-19T00:00:00Z
Arthur,King Arthur,male,0500-01-01T00:00:00Z,0600-01-01T00:00:00Z
Lumme,Kari Lumme,male,1942-07-19T00:00:00Z,2013-11-23T00:00:00Z
Marshak,Samuil Marshak,male,1887-10-22T00:00:00Z,1964-07-04T00:00:00Z
Sahade,Jorge Sahade,male,1915-02-17T00:00:00Z,2012-12-18T00:00:00Z
Seneca,Seneca,male,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z
Saito,Keiji Saitō,male,1924-01-01T00:00:00Z,2016-05-17T00:00:00Z
Lesya,Lesya Ukrainka,female,1871-02-13T00:00:00Z,1913-08-01T00:00:00Z
Bolzano,Bernard Bolzano,male,1781-10-05T00:00:00Z,1848-12-18T00:00:00Z
Belnika,Nikolaj Alekseevich Belyaev,male,1938-01-01T00:00:00Z,2021-01-01T00:00:00Z
Churyumov,Klim Churyumov,male,1937-02-19T00:00:00Z,2016-10-14T00:00:00Z
Bishop,George Bishop,male,1785-08-21T00:00:00Z,1861-06-14T00:00:00Z
James Bradley,James Bradley,male,1693-03-01T00:00:00Z,1762-07-13T00:00:00Z
Huggins,William Huggins,male,1824-02-07T00:00:00Z,1910-05-12T00:00:00Z
Lassell,William Lassell,male,1799-06-18T00:00:00Z,1880-10-05T00:00:00Z
Bobrovnikoff,Nicholas Bobrovnikoff,male,1896-04-29T00:00:00Z,1988-03-21T00:00:00Z
Gadolin,Jakob Gadolin,male,1719-10-13T00:00:00Z,1802-09-26T00:00:00Z
Gadolin,Johan Gadolin,male,1760-06-05T00:00:00Z,1852-08-15T00:00:00Z
Vesale,Andreas Vesalius,male,1514-12-31T00:00:00Z,1564-10-16T00:00:00Z
Victor Jara,Víctor Jara,male,1932-09-28T00:00:00Z,1973-09-16T00:00:00Z
Abetti,Antonio Abetti,male,1846-06-19T00:00:00Z,1928-02-20T00:00:00Z
Abetti,Giorgio Abetti,male,1882-10-05T00:00:00Z,1982-08-24T00:00:00Z
Sova,Antonín Sova,male,1864-02-26T00:00:00Z,1928-08-16T00:00:00Z
Yabuuti,Kiyoshi Yabūchi,male,1906-02-12T00:00:00Z,2000-06-02T00:00:00Z
Ristenpart,Friedrich Ristenpart,male,1868-06-08T00:00:00Z,1913-01-01T00:00:00Z
Gingerich,Owen Gingerich,male,1930-03-24T00:00:00Z,2023-05-28T00:00:00Z
Kandinsky,Wassily Kandinsky,male,1866-11-22T00:00:00Z,1944-12-13T00:00:00Z
Miltiades,Miltiades,male,0554-01-01T00:00:00Z,0489-01-01T00:00:00Z
Everhart,Edgar Everhart,male,1920-06-20T00:00:00Z,1990-01-14T00:00:00Z
Schrutka,Guntram Schrutka-Rechtenstamm,male,1910-01-01T00:00:00Z,
Gramme,Zénobe Gramme,male,1826-04-04T00:00:00Z,1901-01-20T00:00:00Z
Oikawa,Okuro Oikawa,male,1896-01-01T00:00:00Z,1970-01-01T00:00:00Z
Shostakovich,Dmitri Shostakovich,male,1906-09-12T00:00:00Z,1975-08-09T00:00:00Z
Tolkien,J. R. R. Tolkien,male,1892-01-03T00:00:00Z,1973-09-02T00:00:00Z
Mateo,José Mateo,male,1914-01-01T00:00:00Z,1978-01-01T00:00:00Z
Ostrovskij,Nikolai Ostrovsky,male,1904-09-16T00:00:00Z,1936-12-22T00:00:00Z
Masursky,Harold Masursky,male,1922-12-23T00:00:00Z,1990-08-24T00:00:00Z
Halley,Edmond Halley,male,1656-11-08T00:00:00Z,1742-01-25T00:00:00Z
Sersic,José Luis Sérsic,male,1933-05-06T00:00:00Z,1993-07-19T00:00:00Z
Chkalov,Valery Chkalov,male,1904-01-20T00:00:00Z,1938-12-15T00:00:00Z
Kalinin,Mikhail Ivanovich Kalinin,male,1875-11-07T00:00:00Z,1946-06-03T00:00:00Z
Batrakov,Yury Batrakov,male,1926-05-06T00:00:00Z,2013-05-22T00:00:00Z
Borovsky,Karel Havlíček Borovský,male,1821-10-31T00:00:00Z,1856-07-29T00:00:00Z
Burns,Joseph A. Burns,male,1941-03-22T00:00:00Z,2025-02-26T00:00:00Z
Sagan,Carl Sagan,male,1934-11-09T00:00:00Z,1996-12-20T00:00:00Z
Aleksandrov,Anatoly Petrovich Alexandrov,male,1903-01-31T00:00:00Z,1994-02-03T00:00:00Z
Handley,Tommy Handley,male,1892-01-17T00:00:00Z,1949-01-09T00:00:00Z
Pyotr Pervyj,Peter the Great,male,1672-05-30T00:00:00Z,1725-01-28T00:00:00Z
Vsekhsvyatskij,Sergei Vsekhsvyatskij,male,1905-06-07T00:00:00Z,1984-10-06T00:00:00Z
Abalakin,Viktor Kuzmič Abalakin,male,1930-08-27T00:00:00Z,2018-04-23T00:00:00Z
Gorshkov,Pyotr Mikhaylovich Gorshkov,male,1883-01-01T00:00:00Z,1975-01-01T00:00:00Z
Orlov,Aleksandr Orlov,male,1880-03-25T00:00:00Z,1954-01-28T00:00:00Z
Orlov,Sergey Orlov,male,1880-08-06T00:00:00Z,1958-01-12T00:00:00Z
Kotelnikov,Vladimir Kotelnikov,male,1908-08-24T00:00:00Z,2005-02-11T00:00:00Z
Paton,Evgeny Paton,male,1870-03-05T00:00:00Z,1953-08-12T00:00:00Z
Yatskiv,Yaroslav Yatskiv,male,1940-10-25T00:00:00Z,
Barks,Carl Barks,male,1901-03-27T00:00:00Z,2000-08-25T00:00:00Z
Witt,Carl Gustav Witt,male,1866-10-29T00:00:00Z,1946-01-03T00:00:00Z
Hasek,Jaroslav Hašek,male,1883-04-30T00:00:00Z,1923-01-03T00:00:00Z
Ellen,Ellen Suzanne Howell,female,1961-05-03T00:00:00Z,
Tsoj,Viktor Tsoi,male,1962-06-21T00:00:00Z,1990-08-15T00:00:00Z
Valdivia,Pedro de Valdivia,male,1497-04-17T00:00:00Z,1553-12-25T00:00:00Z
Gibson,James Gibson,male,2000-01-01T00:00:00Z,
San Martin,José de San Martín,male,1778-02-25T00:00:00Z,1850-08-17T00:00:00Z
Walterhorn,Walter Horn,male,1881-08-22T00:00:00Z,1967-09-17T00:00:00Z
Campbell,William Wallace Campbell,male,1862-04-11T00:00:00Z,1938-06-14T00:00:00Z
Wu Chien-Shiung,Chien-Shiung Wu,female,1912-05-31T00:00:00Z,1997-02-16T00:00:00Z
Duncan,John Charles Duncan,male,1882-02-08T00:00:00Z,1967-09-10T00:00:00Z
Avicenna,Avicenna,male,0980-01-01T00:00:00Z,1037-06-18T00:00:00Z
Eddington,Arthur Eddington,male,1882-12-28T00:00:00Z,1944-11-22T00:00:00Z
Jeans,James Hopwood Jeans,male,1877-09-11T00:00:00Z,1946-09-16T00:00:00Z
Leeuwenhoek,Antoni van Leeuwenhoek,male,1632-10-24T00:00:00Z,1723-08-26T00:00:00Z
Gorky,Maxim Gorky,male,1868-03-16T00:00:00Z,1936-06-18T00:00:00Z
Mendeleev,Dmitri Mendeleev,male,1834-01-27T00:00:00Z,1907-01-20T00:00:00Z
Tsvet,Mikhail Tsvet,male,1872-05-14T00:00:00Z,1919-06-26T00:00:00Z
Polzunov,Ivan Polzunov,male,1728-03-14T00:00:00Z,1766-05-27T00:00:00Z
Dugan,Raymond Smith Dugan,male,1878-05-30T00:00:00Z,1940-08-31T00:00:00Z
Brooks,William Robert Brooks,male,1844-06-11T00:00:00Z,1921-05-03T00:00:00Z
Shukshin,Vasily Shukshin,male,1929-07-25T00:00:00Z,1974-10-02T00:00:00Z
Monnig,Oscar Monnig,male,1902-09-04T00:00:00Z,1999-05-04T00:00:00Z
Kleczek,Josip Kleczek,male,1923-02-22T00:00:00Z,2014-01-05T00:00:00Z
Leonidas,Leonidas I,male,,0480-08-11T00:00:00Z
Chernyshevskij,Nikolay Chernyshevsky,male,1828-07-12T00:00:00Z,1889-10-17T00:00:00Z
Sedov,Georgy Sedov,male,1877-04-23T00:00:00Z,1914-02-20T00:00:00Z
Grinevia,Alexander Grin,male,1880-08-11T00:00:00Z,1932-07-08T00:00:00Z
Needham,Joseph Needham,male,1900-12-09T00:00:00Z,1995-03-24T00:00:00Z
Ponomarev,Nikolay Ponomaryov,male,1900-03-08T00:00:00Z,1942-07-18T00:00:00Z
Kulik,Leonid Kulik,male,1883-08-19T00:00:00Z,1942-04-14T00:00:00Z
Lepage,Théophile Lepage,male,1901-03-24T00:00:00Z,1991-04-01T00:00:00Z
Kron,Gerald Kron,male,1913-04-06T00:00:00Z,2012-04-09T00:00:00Z
Vergilius,Virgil,male,0170-10-15T00:00:00Z,0119-09-21T00:00:00Z
Ovidius,Ovid,male,0143-03-20T00:00:00Z,0017-01-01T00:00:00Z
Huygens,Christiaan Huygens,male,1629-04-14T00:00:00Z,1695-07-08T00:00:00Z
Kalle,Kalle Väisälä,male,1893-08-19T00:00:00Z,1968-09-16T00:00:00Z
Karl Marx,Karl Marx,male,1818-05-05T00:00:00Z,1883-03-14T00:00:00Z
Belgrano,Manuel Belgrano,male,1770-06-03T00:00:00Z,1820-06-20T00:00:00Z
Vernadskij,Vladimir Ivanovich Vernadsky,male,1863-02-28T00:00:00Z,1945-01-06T00:00:00Z
Lev Tolstoj,Leo Tolstoy,male,1828-08-28T00:00:00Z,1910-11-07T00:00:00Z
Zappala,Vincenzo Zappalà,male,1945-01-01T00:00:00Z,
Pien,Armand Pien,male,1920-01-02T00:00:00Z,2003-09-22T00:00:00Z
Perec,Georges Perec,male,1936-03-07T00:00:00Z,1982-03-03T00:00:00Z
Juvenalis,Juvenal,male,0055-01-01T00:00:00Z,0200-01-01T00:00:00Z
Ensor,James Ensor,male,1860-04-13T00:00:00Z,1949-11-19T00:00:00Z
Sacajawea,Sacagawea,female,1788-05-16T00:00:00Z,1812-12-12T00:00:00Z
van der Laan,Harry van der Laan,male,1936-10-03T00:00:00Z,
Crosby,Bing Crosby,male,1903-05-03T00:00:00Z,1977-10-14T00:00:00Z
Bobhope,Bob Hope,male,1903-05-29T00:00:00Z,2003-07-27T00:00:00Z
Stevin,Simon Stevin,male,1548-01-01T00:00:00Z,1620-01-01T00:00:00Z
Ryoma,Sakamoto Ryōma,male,1836-01-03T00:00:00Z,1867-12-10T00:00:00Z
Sobolev,Viktor Sobolev,male,1915-08-20T00:00:00Z,1999-01-07T00:00:00Z
Griboedov,Alexander Griboyedov,male,1795-01-04T00:00:00Z,1829-01-30T00:00:00Z
Takase,Bunshirō Takase,male,1924-03-23T00:00:00Z,2015-01-09T00:00:00Z
Unsold,Albrecht Unsöld,male,1905-04-20T00:00:00Z,1995-09-23T00:00:00Z
Franklinken,Kenneth Franklin,male,1923-03-25T00:00:00Z,2007-06-18T00:00:00Z
Ylppo,Arvo Ylppö,male,1887-10-27T00:00:00Z,1992-01-28T00:00:00Z
Shklovskij,Iosif Shklovsky,male,1916-06-18T00:00:00Z,1985-03-03T00:00:00Z
Mozhaiskij,Alexander Mozhaysky,male,1825-03-09T00:00:00Z,1890-03-20T00:00:00Z
Rawson,Guillermo Rawson,male,1821-06-24T00:00:00Z,1890-02-02T00:00:00Z
Bastian,Ulrich Bastian,male,1951-01-01T00:00:00Z,
Paganini,Niccolò Paganini,male,1782-10-27T00:00:00Z,1840-05-27T00:00:00Z
Vavilov,Nikolai Vavilov,male,1887-11-13T00:00:00Z,1943-01-26T00:00:00Z
Ben Mayer,Ben Mayer,male,1925-01-01T00:00:00Z,2000-01-01T00:00:00Z
Laurel,Stan Laurel,male,1890-06-16T00:00:00Z,1965-02-23T00:00:00Z
Hardy,Oliver Hardy,male,1892-01-18T00:00:00Z,1957-08-07T00:00:00Z
Steins,Kārlis Šteins,male,1911-10-13T00:00:00Z,1983-04-04T00:00:00Z
Haupt,Hermann Haupt,male,1873-01-24T00:00:00Z,1959-06-02T00:00:00Z
Schober,Hans Josef Schober,male,1944-10-14T00:00:00Z,
Binzel,Richard P. Binzel,male,1958-01-01T00:00:00Z,
Jim Young,James Whitney Young,male,1941-01-24T00:00:00Z,
Lagerkvist,Claes-Ingvar Lagerkvist,male,1944-11-17T00:00:00Z,
Aeschylus,Aeschylus,male,0525-01-01T00:00:00Z,0456-01-01T00:00:00Z
Barabashov,Nikolai Barabashov,male,1894-03-18T00:00:00Z,1971-04-29T00:00:00Z
Tinkaping,Tin Ka Ping,male,1919-11-20T00:00:00Z,2018-07-10T00:00:00Z
Krinov,Yevgeny Krinov,male,1906-02-18T00:00:00Z,1984-01-02T00:00:00Z
McGetchin,Thomas R. McGetchin,male,1936-07-31T00:00:00Z,1979-01-01T00:00:00Z
Ole Romer,Ole Rømer,male,1644-09-25T00:00:00Z,1710-09-19T00:00:00Z
Neuvo,Yrjö Neuvo,male,1943-07-21T00:00:00Z,
Runrun Shaw,Run Run Shaw,male,1907-11-19T00:00:00Z,2014-01-07T00:00:00Z
Lubos Perek,Luboš Perek,male,1919-07-26T00:00:00Z,2020-09-17T00:00:00Z
Westerlund,Bengt Westerlund,male,1921-01-17T00:00:00Z,2008-06-04T00:00:00Z
Millman,Peter Millman,male,1906-08-10T00:00:00Z,1990-12-11T00:00:00Z
Plaskett,John Stanley Plaskett,male,1865-11-17T00:00:00Z,1941-10-17T00:00:00Z
Plaskett,Harry Hemley Plaskett,male,1893-07-05T00:00:00Z,1980-01-26T00:00:00Z
Nekrasov,Nikolay Nekrasov,male,1821-11-28T00:00:00Z,1877-12-27T00:00:00Z
Horta,Victor Horta,male,1861-01-06T00:00:00Z,1947-09-08T00:00:00Z
Voronveliya,Boris Vorontsov-Velyaminov,male,1904-02-14T00:00:00Z,1994-01-27T00:00:00Z
Sawyer Hogg,Helen Sawyer Hogg,female,1905-08-01T00:00:00Z,1993-01-28T00:00:00Z
Dali,Salvador Dalí,male,1904-05-11T00:00:00Z,1989-01-23T00:00:00Z
Sophocles,Sophocles,male,0496-01-01T00:00:00Z,0406-01-01T00:00:00Z
Epstein,Isadore Epstein,male,1919-10-23T00:00:00Z,1995-09-17T00:00:00Z
Harris,Alan W. Harris,male,1952-01-01T00:00:00Z,
Euripides,Euripides,male,0480-01-01T00:00:00Z,0406-01-01T00:00:00Z
Mayakovsky,Vladimir Mayakovsky,male,1893-07-19T00:00:00Z,1930-04-14T00:00:00Z
Aristophanes,Aristophanes,male,0445-01-01T00:00:00Z,0385-01-01T00:00:00Z
Gibbs,Josiah Willard Gibbs,male,1839-02-11T00:00:00Z,1903-04-28T00:00:00Z
Bacon,Francis Bacon,male,1561-01-22T00:00:00Z,1626-04-09T00:00:00Z
Heinrich,Inge Heinrich,female,1941-01-01T00:00:00Z,
Peyo,Peyo,male,1928-06-25T00:00:00Z,1992-12-24T00:00:00Z
