name,named_after,sex_or_gender,date_of_birth,date_of_death
Deborah,Deborah,female,1204-01-01T00:00:00Z,1144-01-01T00:00:00Z
Messalina,Messalina,female,0020-01-01T00:00:00Z,0048-01-01T00:00:00Z
Herodias,Herodias,female,0115-01-01T00:00:00Z,0039-01-01T00:00:00Z
Delila,Delilah,female,1100-01-01T00:00:00Z,1100-01-01T00:00:00Z
Salome,Salome,female,0014-01-01T00:00:00Z,0062-01-01T00:00:00Z
Happelia,Carl Happel,male,1819-01-01T00:00:00Z,1914-01-01T00:00:00Z
Thekla,Thecla,female,0100-01-01T00:00:00Z,0100-01-01T00:00:00Z
Tomyris,Tomyris,female,0600-01-01T00:00:00Z,0600-01-01T00:00:00Z
Bathseba,Bathsheba,female,1009-01-01T00:00:00Z,0937-01-01T00:00:00Z
Fulvia,Fulvia,female,0177-01-01T00:00:00Z,0140-01-01T00:00:00Z
Roswitha,Hrotsvitha,female,0935-01-01T00:00:00Z,0968-01-01T00:00:00Z
Esther,Esther,female,0600-01-01T00:00:00Z,0500-01-01T00:00:00Z
Euphemia,Euphemia,female,0289-01-01T00:00:00Z,0304-09-16T00:00:00Z
Vundtia,Wilhelm Wundt,male,1832-08-16T00:00:00Z,1920-08-31T00:00:00Z
Agrippina,Agrippina the Elder,female,0114-01-01T00:00:00Z,0033-10-18T00:00:00Z
Agrippina,Agrippina the Younger,female,0015-11-06T00:00:00Z,0059-03-17T00:00:00Z
Berenike,Berenice II,female,0267-12-25T00:00:00Z,0221-01-01T00:00:00Z
Zita,Zita of Bourbon-Parma,female,1892-05-09T00:00:00Z,1989-03-14T00:00:00Z
Boliviana,Simón Bolívar,male,1783-07-24T00:00:00Z,1830-12-17T00:00:00Z
Bohlinia,Karl Bohlin,male,1860-10-30T00:00:00Z,1939-05-25T00:00:00Z
Botolphia,Botwulf of Thorney,male,0700-01-01T00:00:00Z,0670-01-01T00:00:00Z
Edisona,Thomas Edison,male,1847-02-11T00:00:00Z,1931-10-18T00:00:00Z
Malzovia,Nikolay Maltsov,male,1849-03-09T00:00:00Z,1939-08-30T00:00:00Z
Sulamitis,Queen of Sheba,female,1000-01-01T00:00:00Z,1000-01-01T00:00:00Z
Massinga,Adam Massinger,male,1888-09-06T00:00:00Z,1914-10-21T00:00:00Z
Brendelia,Martin Brendel,male,1862-08-12T00:00:00Z,1939-09-06T00:00:00Z
Bondia,William Cranch Bond,male,1789-09-09T00:00:00Z,1859-01-29T00:00:00Z
Bondia,George Phillips Bond,male,1825-05-20T00:00:00Z,1865-02-17T00:00:00Z
Struveana,Friedrich Georg Wilhelm von Struve,male,1793-04-15T00:00:00Z,1864-11-23T00:00:00Z
Struveana,Otto Wilhelm von Struve,male,1819-05-07T00:00:00Z,1905-04-14T00:00:00Z
Struveana,Hermann Struve,male,1854-10-03T00:00:00Z,1920-08-12T00:00:00Z
Gutemberga,Johannes Gutenberg,male,1400-01-01T00:00:00Z,1468-01-01T00:00:00Z
Montefiore,Clarice Sebag-Montefiore,female,1894-05-05T00:00:00Z,1967-02-11T00:00:00Z
Pickeringia,Edward Charles Pickering,male,1846-07-19T00:00:00Z,1919-02-03T00:00:00Z
Pickeringia,William Henry Pickering,male,1858-02-15T00:00:00Z,1938-01-17T00:00:00Z
Bredichina,Fyodor Bredikhin,male,1831-12-01T00:00:00Z,1904-05-01T00:00:00Z
Metcalfia,Joel Hastings Metcalf,male,1866-01-04T00:00:00Z,1925-02-23T00:00:00Z
Gyldenia,Hugo Gyldén,male,1841-05-29T00:00:00Z,1896-11-09T00:00:00Z
Ceraskia,Vitold Cerasky,male,1849-04-27T00:00:00Z,1925-05-29T00:00:00Z
Atossa,Atossa,female,0550-01-01T00:00:00Z,0475-01-01T00:00:00Z
Wolfiana,Max Wolf,male,1863-06-21T00:00:00Z,1932-10-03T00:00:00Z
Burnhamia,Sherburne Wesley Burnham,male,1838-12-12T00:00:00Z,1921-03-11T00:00:00Z
Schwarzschilda,Karl Schwarzschild,male,1873-10-09T00:00:00Z,1916-05-11T00:00:00Z
Lipperta,Eduard Amandus Lippert,male,1844-01-08T00:00:00Z,1925-11-19T00:00:00Z
Inna,Inna Nikolaevna Leman-Balanovskaja,female,1881-06-18T00:00:00Z,1945-04-01T00:00:00Z
Wladilena,Vladimir Lenin,male,1870-04-22T00:00:00Z,1924-01-21T00:00:00Z
Nansenia,Fridtjof Nansen,male,1861-10-10T00:00:00Z,1930-05-13T00:00:00Z
Frostia,Edwin Brant Frost,male,1866-07-16T00:00:00Z,1935-05-14T00:00:00Z
Newcombia,Simon Newcomb,male,1835-03-12T00:00:00Z,1909-07-11T00:00:00Z
Backlunda,Oskar Backlund,male,1846-04-28T00:00:00Z,1916-08-29T00:00:00Z
Glasenappia,Sergey Glazenap,male,1848-09-13T00:00:00Z,1937-04-12T00:00:00Z
Mellena,Werner von Melle,male,1853-10-18T00:00:00Z,1937-02-18T00:00:00Z
Holda,Edward S. Holden,male,1846-11-05T00:00:00Z,1914-03-16T00:00:00Z
Mechthild,Mechthild of Magdeburg,female,1207-01-01T00:00:00Z,1282-01-01T00:00:00Z
Mildred,Mildred Shapley Matthews,female,1915-02-15T00:00:00Z,2016-02-11T00:00:00Z
Ricarda,Ricarda Huch,female,1864-07-18T00:00:00Z,1947-11-17T00:00:00Z
Ulrike,Ulrike von Levetzow,female,1804-02-04T00:00:00Z,1899-11-13T00:00:00Z
Seeligeria,Hugo von Seeliger,male,1849-09-23T00:00:00Z,1924-12-02T00:00:00Z
Repsolda,Johann Georg Repsold,male,1770-09-19T00:00:00Z,1830-01-14T00:00:00Z
Palisana,Johann Palisa,male,1848-12-06T00:00:00Z,1925-05-02T00:00:00Z
Schlutia,Heinrich August Schlubach,male,1836-01-14T00:00:00Z,1914-07-12T00:00:00Z
Schlutia,Henry Frederick Tiarks III,male,1900-09-08T00:00:00Z,1995-07-02T00:00:00Z
Bethgea,Hans Bethge,male,1876-01-09T00:00:00Z,1946-02-01T00:00:00Z
Hidalgo,Miguel Hidalgo y Costilla,male,1753-05-08T00:00:00Z,1811-07-30T00:00:00Z
Franklina,John Franklin-Adams,male,1843-08-05T00:00:00Z,1913-08-13T00:00:00Z
Appella,Paul Émile Appell,male,1855-09-27T00:00:00Z,1930-10-24T00:00:00Z
Schwassmannia,Friedrich Karl Arnold Schwassmann,male,1870-03-25T00:00:00Z,1964-01-19T00:00:00Z
Moultona,Forest Ray Moulton,male,1872-04-29T00:00:00Z,1952-12-07T00:00:00Z
Sternberga,Pavel Shternberg,male,1865-04-02T00:00:00Z,1920-02-01T00:00:00Z
Bodea,Johann Elert Bode,male,1747-01-19T00:00:00Z,1826-11-23T00:00:00Z
Zachia,Franz Xaver von Zach,male,1754-06-04T00:00:00Z,1832-09-02T00:00:00Z
Piazzia,Giuseppe Piazzi,male,1746-07-16T00:00:00Z,1826-07-22T00:00:00Z
Gaussia,Carl Friedrich Gauss,male,1777-04-30T00:00:00Z,1855-02-23T00:00:00Z
Olbersia,Heinrich Wilhelm Olbers,male,1758-10-11T00:00:00Z,1840-03-02T00:00:00Z
Belopolskya,Aristarkh Belopolsky,male,1854-07-01T00:00:00Z,1934-05-16T00:00:00Z
Arago,François Arago,male,1786-02-26T00:00:00Z,1853-10-02T00:00:00Z
Lagrangea,Joseph-Louis Lagrange,male,1736-01-25T00:00:00Z,1813-04-10T00:00:00Z
Pawlowia,Ivan Pavlov,male,1849-09-26T00:00:00Z,1936-02-27T00:00:00Z
Marlene,Marlene Dietrich,female,1901-12-27T00:00:00Z,1992-05-06T00:00:00Z
Jacqueline,Jacqueline Zadoc-Kahn Eisenmann,female,1904-01-13T00:00:00Z,1998-05-15T00:00:00Z
Arnolda,Arnold Berliner,male,1862-12-26T00:00:00Z,1942-03-22T00:00:00Z
Strackea,Gustav Stracke,male,1887-07-02T00:00:00Z,1943-08-01T00:00:00Z
Flammario,Camille Flammarion,male,1842-02-26T00:00:00Z,1925-06-03T00:00:00Z
Hale,George Ellery Hale,male,1868-06-29T00:00:00Z,1938-02-21T00:00:00Z
Riema,Johannes Riem,male,1868-11-15T00:00:00Z,1945-01-01T00:00:00Z
Mozartia,Wolfgang Amadeus Mozart,male,1756-01-27T00:00:00Z,1791-12-05T00:00:00Z
Tuckia,Edward Tuck,male,1842-08-24T00:00:00Z,1938-04-30T00:00:00Z
Asta,Asta Nielsen,female,1881-09-11T00:00:00Z,1972-05-25T00:00:00Z
Wanda,Wanda Wasilewska,female,1905-01-21T00:00:00Z,1964-07-29T00:00:00Z
Grubba,Howard Grubb,male,1844-07-28T00:00:00Z,1931-09-16T00:00:00Z
Mussorgskia,Modest Petrovich Mussorgsky,male,1839-03-09T00:00:00Z,1881-03-16T00:00:00Z
Ljuba,Lyubov Berlin,female,1915-10-19T00:00:00Z,1936-03-26T00:00:00Z
Nofretete,Nefertiti,female,1370-01-01T00:00:00Z,1330-01-01T00:00:00Z
Planckia,Max Planck,male,1858-04-23T00:00:00Z,1947-10-04T00:00:00Z
Beljawskya,Sergey Belyavsky,male,1883-12-07T00:00:00Z,1953-10-13T00:00:00Z
Nata,Nata Babushkina,female,1915-03-14T00:00:00Z,1936-06-27T00:00:00Z
Figneria,Vera Figner,female,1852-06-25T00:00:00Z,1942-06-15T00:00:00Z
Pepita,Josep Comas i Solà,male,1868-12-17T00:00:00Z,1937-12-02T00:00:00Z
Hanskya,Aleksey Pavlovitch Hansky,male,1870-07-08T00:00:00Z,1908-07-29T00:00:00Z
Cannonia,Annie Jump Cannon,female,1863-12-11T00:00:00Z,1941-04-13T00:00:00Z
Shapleya,Harlow Shapley,male,1885-11-02T00:00:00Z,1972-10-20T00:00:00Z
Stroobantia,Paul Stroobant,male,1868-04-11T00:00:00Z,1936-07-15T00:00:00Z
Otero,La Belle Otero,female,1868-11-04T00:00:00Z,1965-04-10T00:00:00Z
Astrid,Astrid of Sweden,female,1905-11-17T00:00:00Z,1935-08-29T00:00:00Z
Neujmina,Grigory Neujmin,male,1885-12-22T00:00:00Z,1946-12-17T00:00:00Z
Wallenbergia,Georg Wallenberg,male,1864-02-08T00:00:00Z,1924-11-16T00:00:00Z
Kobolda,Hermann Kobold,male,1858-08-05T00:00:00Z,1942-06-11T00:00:00Z
Dubiago,Alexander Dubyago,male,1903-12-18T00:00:00Z,1959-10-29T00:00:00Z
