"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20000216,"   216 Kleopatra (A880 GB)",216,Kleopatra,,N,N,2,7.07,0.29,,,,,,122,276x94x78,0.1164,5.385,,0.713,0.238,,Xe,M,,30.00,"JPL 152",2460800.5,60800,2025-05-05.0,J2000,0.2505,2.795,2.094,13.12,215.32,179.77,175.49,3.49,0.211,2459968.73,2023-01-24.2,1.71e+03,4.67,1.1,428,1.94,3.24,2.4e-09,1.5e-09,6.6e-09,2.1e-07,1.1e-06,1.3e-06,8.0e-07,1.9e-09,1.7e-10,3.6e-06,1.4e-06,MBA,"Otto Matic",52944,1880-04-20,2025-04-04,5528,1,0,0,.36091,,,,,,,,,
20000243,"   243 Ida (A884 SB)",243,Ida,,N,N,1,10.08,,,,,,,32,59.8x25.4x18.6,0.262,4.634,0.00275,0.802,0.416,,S,S,,,"JPL 182",2460800.5,60800,2025-05-05.0,J2000,0.0449,2.86,2.732,1.13,323.57,114.06,327.48,2.99,0.2037,2460960.15,2025-10-11.6,1.77e+03,4.84,1.75,680,2.13,3.3,1.0e-09,1.7e-09,4.0e-09,6.2e-08,4.0e-06,4.4e-06,2.0e-06,1.8e-09,1.8e-10,1.0e-05,1.6e-06,MBA,"Otto Matic",51137,1885-01-18,2025-01-21,12485,,,0,.27125,,,,,,,,,
20000283,"   283 Emma (A889 CA)",283,Emma,,N,N,1,8.80,,,,,,,132.385,,0.023,6.896,,0.712,0.297,,,X,,0.26,"JPL 113",2460800.5,60800,2025-05-05.0,J2000,0.1440,3.048,2.609,7.99,303.86,55.89,357.29,3.49,0.1852,2460815.11,2025-05-19.6,1.94e+03,5.32,1.62,629,1.99,3.21,1.9e-09,2.1e-09,7.1e-09,1.2e-07,8.9e-07,1.1e-06,7.9e-07,2.4e-09,1.9e-10,4.3e-06,2.0e-06,MBA,"Otto Matic",49562,1889-03-23,2024-12-02,8587,,,0,.29052,,,,,,,,,
20000317,"   317 Roxane (A891 RD)",317,Roxane,,N,N,1,9.77,,,,,,,18.648,,0.926,8.169,,0.694,0.238,,Xe,E,,0.16,"JPL 73",2460800.5,60800,2025-05-05.0,J2000,0.0860,2.286,2.090,1.77,151.33,186.65,231.78,2.48,0.2851,2461250.23,2026-07-28.7,1.26e+03,3.46,1.08,420,2.77,3.6,1.3e-09,8.7e-10,2.8e-09,8.3e-08,2.1e-06,2.3e-06,7.3e-07,9.4e-10,1.6e-10,2.5e-06,7.2e-07,MBA,"Otto Matic",48761,1891-09-11,2025-03-13,5743,,,0,.38966,,,,,,,,,
20000379,"   379 Huenna (A894 AA)",379,Huenna,,N,N,1,9.13,,,,,,,84.787,,0.046,14.141,,0.672,0.287,,C,B,,1.56,"JPL 143",2460800.5,60800,2025-05-05.0,J2000,0.1792,3.143,2.579,1.67,171.85,180.96,331.16,3.71,0.1769,2460963.54,2025-10-15.0,2.03e+03,5.57,1.57,612,1.73,3.18,1.6e-09,2.4e-09,6.7e-09,6.9e-08,2.3e-06,2.3e-06,7.6e-07,2.8e-09,2.0e-10,4.5e-06,2.3e-06,MBA,"Otto Matic",47763,1894-01-10,2024-10-18,10239,,,0,.29511,,,,,,,,,
20000617,"   617 Patroclus (A906 UL)",617,Patroclus,,N,N,1,8.25,,,,,,,140.362,,0.047,102.8,,0.677,0.215,,,P,,0.87,"JPL 85",2460800.5,60800,2025-05-05.0,J2000,0.1395,5.206,4.480,22.06,44.35,308.67,25.59,5.93,0.08297,2460492.09,2024-06-30.5,4.34e+03,11.9,3.53,1.37e+03,0.189,2.83,1.6e-08,3.9e-08,1.1e-07,9.2e-07,2.5e-06,4.7e-06,5.5e-06,4.4e-08,9.3e-10,6.4e-05,4.9e-05,TJN,"Davide Farnocchia",43048,1906-10-29,2024-09-07,5897,,,0,.24674,,,,,,,,,
20000624,"   624 Hektor (A907 CF)",624,Hektor,,N,N,1,7.34,,,,,,,225,,0.025,6.924,,0.776,0.249,,,D,,,"JPL 134",2460800.5,60800,2025-05-05.0,J2000,0.0242,5.276,5.148,18.15,342.80,180.18,353.44,5.40,0.08134,2460881.10,2025-07-24.5,4.43e+03,12.1,4.16,1.62e+03,0.259,2.9,4.0e-09,3.0e-08,4.6e-08,8.8e-08,3.5e-07,1.2e-05,1.4e-05,3.1e-08,6.9e-10,1.7e-04,3.8e-05,TJN,"Otto Matic",43154,1907-02-11,2025-04-06,7864,,,0,.26407,,,,,,,,,
20000702,"   702 Alauda (A910 OA)",702,Alauda,,N,N,1,7.49,,,,,,,190.980,,0.061,16.7072,,0.665,0.316,,B,C,,1.97,"JPL 130",2460800.5,60800,2025-05-05.0,J2000,0.0156,3.193,3.143,20.60,289.71,352.87,71.68,3.24,0.1728,2460385.64,2024-03-16.1,2.08e+03,5.7,2.13,828,1.94,3.1,1.6e-09,3.6e-09,3.9e-09,1.2e-07,3.9e-07,7.8e-06,7.3e-06,3.7e-09,2.9e-10,4.3e-05,3.5e-06,MBA,"Otto Matic",41803,1910-07-17,2024-12-28,9516,,,0,.26769,,,,,,,,,
20000761,"   761 Brendelia (A913 RE)",761,Brendelia,,N,N,1,10.87,,,,,,,20.763,,0.156,57.96,,0.758,0.412,,,SC,,0.30,"JPL 65",2460800.5,60800,2025-05-05.0,J2000,0.0617,2.862,2.686,2.16,23.71,298.50,45.52,3.04,0.2035,2460576.84,2024-09-23.3,1.77e+03,4.84,1.67,651,2.15,3.3,8.5e-10,9.7e-10,3.0e-09,4.0e-08,1.5e-06,1.5e-06,6.0e-07,1.0e-09,1.0e-10,2.9e-06,9.0e-07,MBA,"Otto Matic",43865,1904-11-15,2024-12-20,8856,,,0,.3188,,,,,,,,,
20000762,"   762 Pulcova (A913 RD)",762,Pulcova,,N,N,1,8.46,,,,,,,147.343,,0.040,5.839,,0.658,0.345,,,F,,0.82,"JPL 138",2460800.5,60800,2025-05-05.0,J2000,0.1077,3.153,2.814,13.10,305.51,188.64,192.63,3.49,0.176,2461751.33,2027-12-11.8,2.05e+03,5.6,1.83,712,1.59,3.16,2.0e-09,3.6e-09,4.9e-09,1.1e-07,5.8e-07,1.1e-06,1.7e-06,3.9e-09,3.0e-10,1.1e-05,3.5e-06,MBA,"Otto Matic",39698,1916-03-14,2024-11-20,10830,,,0,.23386,,,,,,,,,
20000809,"   809 Lundia (A915 PF)",809,Lundia,,N,N,1,12.13,,,,,,,9.450,,0.379,15.4142,,,,,,,,0.18,"JPL 105",2460800.5,60800,2025-05-05.0,J2000,0.1921,2.283,1.845,7.14,154.49,196.27,270.98,2.72,0.2857,2461112.12,2026-03-12.6,1.26e+03,3.45,0.839,327,2.7,3.57,6.0e-10,4.7e-10,1.3e-09,3.1e-08,2.0e-07,2.6e-07,3.7e-07,5.7e-10,8.9e-11,1.4e-06,3.9e-07,MBA,"Otto Matic",40027,1915-08-11,2025-03-13,5936,,,0,.37582,,,,,,,,,
20000854,"   854 Frostia (A916 GO)",854,Frostia,,N,N,1,12.05,,,,,,,7.839,,0.415,37.56,,,,,,,,0.20,"JPL 105",2460800.5,60800,2025-05-05.0,J2000,0.1755,2.368,1.952,6.09,190.52,84.60,273.43,2.78,0.2706,2461120.46,2026-03-20.9,1.33e+03,3.64,0.948,369,2.34,3.52,5.9e-10,5.6e-10,1.5e-09,3.5e-08,4.5e-07,5.3e-07,3.5e-07,6.6e-10,9.6e-11,1.4e-06,4.7e-07,MBA,"Otto Matic",30220,1942-07-11,2025-04-06,6554,,,0,.3386,,,,,,,,,
